2017-10-01,2017,2017 HY2,2017 Q4,2017 Week 39,SoundX Nano 32gb,Audio,Electronics,BizTech,City_London,EN,EN,Local,GBP,United Kingdom,Western Europe,MFG_EMEA,Surplus Dept.,College Office,939,Active Singles,Gold,Cust_AMERICAS,EMEA,-56.16928472,-788.1,1123.86708,285.957
2017-10-01,2017,2017 HY2,2017 Q4,2017 Week 39,PocketFun ES,Portable,Games,FunPod,City_London,EN,EN,Local,GBP,United Kingdom,Western Europe,MFG_EMEA,Operations Dept.,Spring Office,62,Seniors,Gold,Cust_AMERICAS,APAC,66.30422116,1308.6,1580.87763,150.588
2017-10-01,2017,2017 HY2,2017 Q4,2017 Week 39,Tungsten E LED TV,LED,TV,HomeView,City_London,EN,EN,Local,GBP,United Kingdom,Western Europe,MFG_EMEA,Manufactured Dept.,Guadalupe Office,255,Seniors,Gold,Cust_APAC,APAC,37.05167728,344.94,745.70697,63.279
2017-10-01,2017,2017 HY2,2017 Q4,2017 Week 39,AMOLED 36X Standard,AMOLED,TV,HomeView,City_London,EN,EN,Local,GBP,United Kingdom,Western Europe,MFG_EMEA,Manufactured Dept.,Guadalupe Office,423,Students,Platinum,Cust_APAC,AMERICAS,10.3413776,94.06,728.54955,64.881
2017-10-01,2017,2017 HY2,2017 Q4,2017 Week 39,PocketFun ES,Portable,Games,FunPod,City_London,EN,EN,Local,GBP,United Kingdom,Western Europe,MFG_EMEA,Surplus Dept.,College Office,3,Urban based,Silver,Cust_APAC,AMERICAS,22.94567712,419.86,1465.6698,0.0
2017-10-01,2017,2017 HY2,2017 Q4,2017 Week 39,KeyMax S-Phone,Smart Phones,Communication,BizTech,City_London,EN,EN,Local,GBP,United Kingdom,Western Europe,MFG_EMEA,Operations Dept.,Mills Office,616,Rural based,Non Member,Cust_EMEA,EMEA,55.20284962,771.78,1119.86208,9.612
2017-10-01,2017,2017 HY2,2017 Q4,2017 Week 39,KeyMax S-Phone,Smart Phones,Communication,BizTech,City_London,EN,EN,Local,GBP,United Kingdom,Western Europe,MFG_EMEA,Operations Dept.,Spring Office,962,Seniors,Platinum,Cust_EMEA,APAC,15.87316118,225.41,1137.47607,18.423
2017-10-01,2017,2017 HY2,2017 Q4,2017 Week 39,Roving Pro Video Camera,Camera,Digital,FunPod,City_London,EN,EN,Local,GBP,United Kingdom,Western Europe,MFG_EMEA,Operations Dept.,Spring Office,60,Active Singles,Platinum,Cust_APAC,EMEA,64.82816551,980.15,1211.04792,41.652
2017-10-01,2017,2017 HY2,2017 Q4,2017 Week 39,SoundX Nano 32gb,Audio,Electronics,BizTech,City_London,EN,EN,Local,GBP,United Kingdom,Western Europe,MFG_EMEA,Manufactured Dept.,Guadalupe Office,105,Active Singles,Non Member,Cust_AMERICAS,AMERICAS,85.62882899,1126.55,1053.81162,36.045
2017-10-01,2017,2017 HY2,2017 Q4,2017 Week 39,SoundX Nano 32gb,Audio,Electronics,BizTech,City_London,EN,EN,Local,GBP,United Kingdom,Western Europe,MFG_EMEA,Operations Dept.,Mills Office,871,Students,Silver,Cust_APAC,APAC,54.88763879,745.44,1087.85412,33.642
